int(self),tree_cov,n_respectful_sheperd,n_disrespectful_sheperd,global_min_size,avg_grove_size,current_date.month,current_date.year
0,0.5796,0,10,9.0,38.2148,2,1991
0,0.5724,0,10,9.0,38.2104,3,1991
0,0.5756,0,10,9.0,38.2556,4,1991
0,0.5728,0,10,9.0,38.284,5,1991
0,0.5728,0,10,9.0,38.2524,6,1991
0,0.5704,0,10,9.0,38.1644,7,1991
0,0.5704,0,10,9.0,38.0088,8,1991
0,0.5604,0,10,9.0,37.5904,9,1991
0,0.5676,0,10,9.0,37.2792,10,1991
0,0.564,0,10,9.0,37.0032,11,1991
0,0.5768,0,10,9.0,37.4392,12,1991
0,0.5768,0,10,9.0,37.8624,1,1992
0,0.5768,0,10,9.0,37.99,2,1992
0,0.5676,0,10,9.0,37.8668,3,1992
0,0.5748,0,10,9.0,37.9368,4,1992
0,0.5728,0,10,9.0,37.8644,5,1992
0,0.5748,0,10,9.0,37.7784,6,1992
0,0.574,0,10,9.0,37.7432,7,1992
0,0.5748,0,10,9.0,37.5484,8,1992
0,0.5672,0,10,9.0,37.1864,9,1992
0,0.5756,0,10,9.0,36.9196,10,1992
0,0.5692,0,10,9.0,36.6396,12,1992
0,0.5692,0,10,9.0,37.0704,1,1993
0,0.56,0,10,9.0,36.8304,2,1993
0,0.552,0,10,9.0,36.644,3,1993
0,0.5504,0,10,9.0,36.4996,4,1993
0,0.5452,0,10,9.0,36.3704,5,1993
0,0.5416,0,10,9.0,36.2044,6,1993
0,0.536,0,10,9.0,36.006,7,1993
0,0.5272,0,10,9.0,35.7512,8,1993
0,0.5228,0,10,9.0,35.5112,9,1993
0,0.5264,0,10,9.0,35.2816,10,1993
0,0.5236,0,10,9.0,35.176,11,1993
0,0.5336,0,10,9.0,35.6524,12,1993
0,0.5336,0,10,9.0,36.1188,1,1994
0,0.5336,0,10,9.0,36.3656,2,1994
0,0.5284,0,10,9.0,36.4764,3,1994
0,0.5336,0,10,9.0,36.6444,4,1994
0,0.5312,0,10,9.0,36.764,5,1994
0,0.5348,0,10,9.0,36.874,6,1994
0,0.5344,0,10,9.0,36.9408,7,1994
0,0.5364,0,10,9.0,36.8676,8,1994
0,0.5252,0,10,9.0,36.4452,9,1994
0,0.5316,0,10,9.0,36.2948,10,1994
0,0.5272,0,10,9.0,36.1308,11,1994
0,0.5396,0,10,9.0,36.6036,12,1994
0,0.5396,0,10,9.0,37.064,1,1995
0,0.5396,0,10,9.0,37.3168,2,1995
0,0.5328,0,10,9.0,37.3732,3,1995
0,0.54,0,10,9.0,37.5208,4,1995
0,0.5412,0,10,9.0,37.6016,5,1995
0,0.5408,0,10,9.0,37.6912,6,1995
0,0.5424,0,10,9.0,37.7944,7,1995
0,0.5448,0,10,9.0,37.738,8,1995
0,0.5356,0,10,9.0,37.3008,9,1995
0,0.5432,0,10,9.0,37.0948,10,1995
0,0.5388,0,10,9.0,36.8136,11,1995
0,0.5492,0,10,9.0,37.2748,12,1995
0,0.5492,0,10,9.0,37.7256,1,1996
0,0.5492,0,10,9.0,37.924,2,1996
0,0.5432,0,10,9.0,37.9528,3,1996
0,0.5476,0,10,9.0,38.0344,4,1996
0,0.5452,0,10,9.0,38.1628,5,1996
0,0.5508,0,10,9.0,38.3084,6,1996
0,0.5524,0,10,9.0,38.396,7,1996
0,0.5552,0,10,9.0,38.2924,8,1996
0,0.5436,0,10,9.0,37.8196,9,1996
0,0.5504,0,10,9.0,37.5824,10,1996
0,0.544,0,10,9.0,37.2416,11,1996
0,0.554,0,10,9.0,37.6976,12,1996
0,0.562,0,10,9.0,38.1436,1,1997
0,0.562,0,10,9.0,38.27,2,1997
0,0.5628,0,10,9.0,38.1628,3,1997
0,0.5696,0,10,9.0,38.2276,5,1997
0,0.568,0,10,9.0,38.1608,6,1997
0,0.5752,0,10,9.0,38.1632,7,1997
0,0.5748,0,10,9.0,38.0528,8,1997
0,0.5804,0,10,9.0,37.8956,9,1997
0,0.5756,0,10,9.0,37.45,10,1997
0,0.5796,0,10,9.0,37.1832,11,1997
0,0.586,0,10,9.0,37.6036,12,1997
0,0.586,0,10,9.0,38.0176,1,1998
0,0.586,0,10,9.0,38.1992,2,1998
0,0.5776,0,10,9.0,38.1708,3,1998
0,0.5816,0,10,9.0,38.318,4,1998
0,0.578,0,10,9.0,38.2688,5,1998
0,0.5804,0,10,9.0,38.3136,6,1998
0,0.5796,0,10,9.0,38.2852,7,1998
0,0.5788,0,10,9.0,38.1336,8,1998
0,0.564,0,10,9.0,37.6048,9,1998
0,0.5692,0,10,9.0,37.316,10,1998
0,0.5608,0,10,9.0,36.9092,11,1998
0,0.5748,0,10,9.0,37.3484,12,1998
0,0.5748,0,10,9.0,37.7736,1,1999
0,0.5748,0,10,9.0,37.9196,2,1999
0,0.5668,0,10,9.0,37.8684,3,1999
0,0.5704,0,10,9.0,37.9672,4,1999
0,0.5668,0,10,9.0,37.96,5,1999
0,0.568,0,10,9.0,37.9456,6,1999
0,0.5688,0,10,9.0,37.93,7,1999
0,0.566,0,10,9.0,37.7812,8,1999
0,0.5552,0,10,9.0,37.3628,9,1999
0,0.5616,0,10,9.0,37.14,10,1999
0,0.5572,0,10,9.0,36.9296,11,1999
0,0.5676,0,10,9.0,37.3724,12,1999
0,0.5676,0,10,9.0,37.8048,1,2000
0,0.5676,0,10,9.0,37.9672,2,2000
0,0.5596,0,10,9.0,37.9244,3,2000
0,0.5656,0,10,9.0,38.0188,4,2000
0,0.564,0,10,9.0,38.0044,5,2000
0,0.5616,0,10,9.0,37.9708,6,2000
0,0.562,0,10,9.0,37.9528,7,2000
0,0.5616,0,10,9.0,37.7384,8,2000
0,0.55,0,10,9.0,37.3008,9,2000
0,0.5588,0,10,9.0,37.1132,10,2000
0,0.5552,0,10,9.0,36.8704,11,2000
0,0.5684,0,10,9.0,37.3152,12,2000
0,0.5684,0,10,9.0,37.7468,1,2001
0,0.5684,0,10,9.0,37.9172,2,2001
0,0.5596,0,10,9.0,37.886,3,2001
0,0.566,0,10,9.0,37.9284,4,2001
0,0.5632,0,10,9.0,37.8656,5,2001
0,0.5668,0,10,9.0,37.8312,6,2001
0,0.5668,0,10,9.0,37.842,7,2001
0,0.568,0,10,9.0,37.7656,8,2001
0,0.5592,0,10,9.0,37.374,9,2001
0,0.5648,0,10,9.0,37.1724,10,2001
0,0.5616,0,10,9.0,36.9748,11,2001
0,0.5616,0,10,9.0,37.4132,12,2001
0,0.5616,0,10,9.0,37.8516,1,2002
0,0.5616,0,10,9.0,38.0088,3,2002
0,0.5648,0,10,9.0,38.0248,4,2002
0,0.5632,0,10,9.0,38.1372,5,2002
0,0.5664,0,10,9.0,38.1484,6,2002
0,0.564,0,10,9.0,38.1456,7,2002
0,0.5676,0,10,9.0,38.1848,8,2002
0,0.5668,0,10,9.0,38.0188,9,2002
0,0.5668,0,10,9.0,37.562,10,2002
0,0.5688,0,10,9.0,37.3132,11,2002
0,0.5828,0,10,9.0,37.7444,12,2002
0,0.5828,0,10,9.0,38.1616,1,2003
0,0.5828,0,10,9.0,38.4288,2,2003
0,0.5772,0,10,9.0,38.562,3,2003
0,0.5848,0,10,9.0,38.8016,4,2003
0,0.5856,0,10,9.0,38.9764,5,2003
0,0.5872,0,10,9.0,39.098,6,2003
0,0.5916,0,10,9.0,39.2384,7,2003
0,0.5936,0,10,9.0,39.054,8,2003
0,0.5836,0,10,9.0,38.49,9,2003
0,0.5844,0,10,9.0,38.1244,10,2003
0,0.5824,0,10,9.0,37.7476,11,2003
0,0.5932,0,10,9.0,38.1652,12,2003
0,0.5932,0,10,9.0,38.572,1,2004
0,0.5932,0,10,9.0,38.7116,2,2004
0,0.584,0,10,9.0,38.6492,3,2004
0,0.594,0,10,9.0,38.7636,4,2004
0,0.59,0,10,9.0,38.7464,5,2004
0,0.5936,0,10,9.0,38.7364,6,2004
0,0.5916,0,10,9.0,38.7204,7,2004
0,0.5936,0,10,9.0,38.5528,8,2004
0,0.584,0,10,9.0,38.0616,9,2004
0,0.59,0,10,9.0,37.834,10,2004
0,0.5852,0,10,9.0,37.5216,11,2004
0,0.5956,0,10,9.0,37.9364,12,2004
0,0.5956,0,10,9.0,38.3408,1,2005
0,0.5956,0,10,9.0,38.4948,2,2005
0,0.5864,0,10,9.0,38.4184,3,2005
0,0.5912,0,10,9.0,38.5416,4,2005
0,0.5884,0,10,9.0,38.538,5,2005
0,0.5888,0,10,9.0,38.602,6,2005
0,0.588,0,10,9.0,38.654,7,2005
0,0.5904,0,10,9.0,38.5552,8,2005
0,0.5816,0,10,9.0,38.0692,9,2005
0,0.5908,0,10,9.0,37.8672,10,2005
0,0.5804,0,10,9.0,37.54,11,2005
0,0.5928,0,10,9.0,37.9596,12,2005
0,0.5928,0,10,9.0,38.3668,1,2006
0,0.5928,0,10,9.0,38.452,2,2006
0,0.5784,0,10,9.0,38.2724,3,2006
0,0.586,0,10,9.0,38.3012,4,2006
0,0.5772,0,10,9.0,38.1428,5,2006
0,0.5788,0,10,9.0,38.0836,7,2006
0,0.5776,0,10,9.0,38.036,8,2006
0,0.5768,0,10,9.0,37.9024,9,2006
0,0.5712,0,10,9.0,37.486,10,2006
0,0.5792,0,10,9.0,37.306,11,2006
0,0.5852,0,10,9.0,37.7268,12,2006
0,0.5852,0,10,9.0,38.1416,1,2007
0,0.5852,0,10,9.0,38.3568,2,2007
0,0.576,0,10,9.0,38.326,3,2007
0,0.5812,0,10,9.0,38.4704,4,2007
0,0.58,0,10,9.0,38.5832,5,2007
0,0.5772,0,10,9.0,38.5812,6,2007
0,0.5744,0,10,9.0,38.5316,7,2007
0,0.5704,0,10,9.0,38.33,8,2007
0,0.5608,0,10,9.0,37.7804,9,2007
0,0.5712,0,10,9.0,37.5136,10,2007
0,0.5636,0,10,9.0,37.1812,11,2007
0,0.578,0,10,9.0,37.6176,12,2007
0,0.578,0,10,9.0,38.0396,1,2008
0,0.578,0,10,9.0,38.1788,2,2008
0,0.5676,0,10,9.0,38.0892,3,2008
0,0.5748,0,10,9.0,38.1244,4,2008
0,0.5696,0,10,9.0,38.0336,5,2008
0,0.5708,0,10,9.0,38.0312,6,2008
0,0.5668,0,10,9.0,37.9664,7,2008
0,0.5664,0,10,9.0,37.702,8,2008
0,0.5596,0,10,9.0,37.3116,9,2008
0,0.566,0,10,9.0,37.0576,10,2008
0,0.5608,0,10,9.0,36.74,11,2008
0,0.5692,0,10,9.0,37.1792,12,2008
0,0.5692,0,10,9.0,37.61,1,2009
0,0.5692,0,10,9.0,37.7456,2,2009
0,0.5568,0,10,9.0,37.6364,3,2009
0,0.5628,0,10,9.0,37.7068,4,2009
0,0.5576,0,10,9.0,37.6528,5,2009
0,0.5628,0,10,9.0,37.718,6,2009
0,0.5588,0,10,9.0,37.6904,7,2009
0,0.558,0,10,9.0,37.5948,8,2009
0,0.5544,0,10,9.0,37.2444,9,2009
0,0.5596,0,10,9.0,37.0612,10,2009
0,0.5588,0,10,9.0,36.8972,11,2009
0,0.5716,0,10,9.0,37.3384,12,2009
0,0.5716,0,10,9.0,37.7668,1,2010
0,0.5716,0,10,9.0,37.9868,2,2010
0,0.5656,0,10,9.0,38.0564,3,2010
0,0.5728,0,10,9.0,38.1972,4,2010
0,0.5684,0,10,9.0,38.2472,5,2010
0,0.5732,0,10,9.0,38.2592,6,2010
0,0.5736,0,10,9.0,38.2648,7,2010
0,0.5752,0,10,9.0,38.0728,8,2010
0,0.5664,0,10,9.0,37.6348,9,2010
0,0.572,0,10,9.0,37.3556,10,2010
0,0.5652,0,10,9.0,36.9944,11,2010
0,0.5652,0,10,9.0,37.4292,12,2010
0,0.5652,0,10,9.0,37.864,1,2011
0,0.5652,0,10,9.0,38.0208,3,2011
0,0.5624,0,10,9.0,37.9776,4,2011
0,0.5608,0,10,9.0,38.0256,5,2011
0,0.5588,0,10,9.0,37.9452,6,2011
0,0.5608,0,10,9.0,37.9268,7,2011
0,0.5588,0,10,9.0,37.8708,8,2011
0,0.5576,0,10,9.0,37.7028,9,2011
0,0.5608,0,10,9.0,37.3608,10,2011
0,0.5604,0,10,9.0,37.1356,11,2011
0,0.5708,0,10,9.0,37.5752,12,2011
0,0.5708,0,10,9.0,38.0044,1,2012
0,0.5708,0,10,9.0,38.204,2,2012
0,0.5612,0,10,9.0,38.162,3,2012
0,0.568,0,10,9.0,38.2796,4,2012
0,0.5652,0,10,9.0,38.318,5,2012
0,0.5688,0,10,9.0,38.3216,6,2012
0,0.5692,0,10,9.0,38.3104,7,2012
0,0.57,0,10,9.0,38.1356,8,2012
0,0.5628,0,10,9.0,37.6752,9,2012
0,0.5704,0,10,9.0,37.4656,10,2012
0,0.5688,0,10,9.0,37.1984,11,2012
0,0.5808,0,10,9.0,37.6296,12,2012
0,0.5808,0,10,9.0,38.0488,1,2013
0,0.5808,0,10,9.0,38.172,2,2013
0,0.5696,0,10,9.0,37.982,3,2013
0,0.5764,0,10,9.0,37.98,4,2013
0,0.5704,0,10,9.0,37.8608,5,2013
0,0.5684,0,10,9.0,37.7216,6,2013
0,0.5624,0,10,9.0,37.5828,7,2013
0,0.5616,0,10,9.0,37.3772,8,2013
0,0.5556,0,10,9.0,37.0052,9,2013
0,0.5624,0,10,9.0,36.7768,10,2013
0,0.5616,0,10,9.0,36.598,11,2013
0,0.5692,0,10,9.0,37.0364,12,2013
0,0.5692,0,10,9.0,37.4672,1,2014
0,0.5692,0,10,9.0,37.684,2,2014
0,0.5616,0,10,9.0,37.7268,3,2014
0,0.5636,0,10,9.0,37.8504,4,2014
0,0.5588,0,10,9.0,37.7984,5,2014
0,0.5588,0,10,9.0,37.7356,6,2014
0,0.5556,0,10,9.0,37.65,7,2014
0,0.5544,0,10,9.0,37.436,8,2014
0,0.5424,0,10,9.0,36.9776,9,2014
0,0.5504,0,10,9.0,36.7428,10,2014
0,0.548,0,10,9.0,36.478,11,2014
0,0.5588,0,10,9.0,36.93,12,2014
0,0.5588,0,10,9.0,37.3712,1,2015
0,0.5588,0,10,9.0,37.5336,2,2015
0,0.5496,0,10,9.0,37.4624,3,2015
0,0.5572,0,10,9.0,37.5496,4,2015
0,0.5548,0,10,9.0,37.5528,5,2015
0,0.5564,0,10,9.0,37.5676,6,2015
0,0.5552,0,10,9.0,37.504,7,2015
0,0.5564,0,10,9.0,37.3408,8,2015
0,0.5488,0,10,9.0,36.9292,10,2015
0,0.5544,0,10,9.0,36.7368,11,2015
0,0.5632,0,10,9.0,37.1824,12,2015
0,0.5632,0,10,9.0,37.6192,1,2016
0,0.5632,0,10,9.0,37.87,2,2016
0,0.5564,0,10,9.0,37.9652,3,2016
0,0.5632,0,10,9.0,38.1492,4,2016
0,0.5564,0,10,9.0,38.1816,5,2016
0,0.5604,0,10,9.0,38.3064,6,2016
0,0.5608,0,10,9.0,38.3204,7,2016
0,0.56,0,10,9.0,38.1988,8,2016
0,0.5476,0,10,9.0,37.7204,9,2016
0,0.5548,0,10,9.0,37.4396,10,2016
0,0.548,0,10,9.0,37.0892,11,2016
0,0.5624,0,10,9.0,37.5412,12,2016
0,0.5624,0,10,9.0,37.9788,1,2017
0,0.5624,0,10,9.0,38.1228,2,2017
0,0.554,0,10,9.0,38.1164,3,2017
0,0.5616,0,10,9.0,38.2332,4,2017
0,0.5612,0,10,9.0,38.2456,5,2017
0,0.562,0,10,9.0,38.2568,6,2017
0,0.564,0,10,9.0,38.214,7,2017
